Ime,Visina,Lokacija
Snežnik,1796,"45,5885°N 14,4476°"
Mali Snežnik,1694,"45,5898°N 14,4359°"
Mali Golak,1495,"45,9785°N 13,8644°"
Srednji Golak,1480,"45,97448°N 13,87294°"
Mrzovec,1410,"45,97825°N 13,80575°"
Veliki Modrasovec,1353,"45,93638°N 13,85005°"
Bukov Vrh (Trnovski gozd),1314,"45,99013°N 13,88505°"
Suhi vrh (Nanos),1313,"45,79828°N 14,0671°"
Mali Modrasovec,1305,"45,93035°N 13,85385°"
Poldanovec,1299,"46,00953°N 13,83299°"
Goteniški Snežnik,1289,"45,59193°N 14,73624°"
Srednja gora (Hrušica),1275,"45,8712°N 14,07192°"
Veliki Javornik (Javorniki),1268,"45,758°N 14,29508°"
Streliški vrh (Hrušica),1266,"45,87302°N 14,08718°"
Iztokova koča pod Golaki,1260,"45,97585°N 13,85397°"
Turn,1254,"45,68736°N 14,70814°"
Kuk (Kolovrat),1243,"46,19568°N 13,61946°"
Dom na Sviščakih,1242,"45,57423°N 14,40114°"
Koča Antona Bavčerja na Čavnu,1242,"45,92891°N 13,85299°"
Javornik nad Črnim Vrhom,1240,"45,89589°N 14,07173°"
Vojkova koča na Nanosu,1240,"45,77204°N 14,05306°"
Veliki Rob,1237,"45,93438°N 13,80292°"
Kucelj na Čavnu,1237,"45,92873°N 13,82502°"
Rezinski vrh,1231,"45,68818°N 14,7138°"
Sveti Duh (Hrušica),1221,"45,87179°N 14,06257°"
Mali Javornik (Javorniki),1219,"45,76421°N 14,27927°"
Petelinjek,1212,"45,6782°N 14,5531°"
Grmada (Nanos),1209,"45,77751°N 14,0425°"
Velika Jazbina,1201,"45,6814°N 14,5568°"
Nagnoj,1193,"46,1916°N 13,6336°"
Cerk,1192,"45,5464°N 14,7642°"
Stanov rob,1191,"46,02082°N 13,81632°"
Čaven,1185,"45,93387°N 13,79646°"
Škol,1182,"46,01981°N 13,79177°"
Križna gora (Hrušica),1162,"45,87238°N 14,05385°"
Pirnatova koča na Javorniku,1156,"45,89477°N 14,07528°"
Maj,1142,"45,7913°N 14,0804°"
Velika ledena jama v Paradani,1140,"45,98868°N 13,84461°"
Racna gora,1140,"45,7085°N 14,5292°"
Trinški vrh,1138,"46,1872°N 13,65119°"
Špičasti vrh,1128,"45,92694°N 13,99776°"
Bela stena,1122,"45,69203°N 14,71968°"
Krokar,1122,"45,5383°N 14,7695°"
Na gradu,1115,"46,1836°N 13,65946°"
Slivnica,1114,"45,79005°N 14,4081°"
Krim,1107,"45,92856°N 14,47138°"
Čelkov vrh,1106,"45,91333°N 14,04905°"
Sveta Trojica,1106,"45,72505°N 14,27125°"
Velika Milanja,1099,"45,59443°N 14,30967°"
Kršičevec,1091,"45,66523°N 14,33318°"
Baba (pri Javornikih),1085,"45,7535°N 14,274°"
Razsušica,1083,"45,49388°N 14,0592°"
Kameni zid,1081,"45,61291°N 14,73481°"
Medvižica,1081,"45,49525°N 14,06347°"
Dom na Slivnici,1078,"45,78973°N 14,40584°"
Črni vrh (pri Lokvah),1072,"46,0159°N 13,7815°"
Veliki vrh (nad Lomom),1071,"46,10641°N 13,7801°"
Lašček,1071,"46,079°N 13,773°"
Bivak Zanuso na Kolovratu,1065,"46,18901°N 13,64211°"
Mokrc,1059,"45,8941°N 14,5268°"
Ostrič,1056,"45,49143°N 14,07342°"
Mala gora,1034,"45,92536°N 13,84464°"
Bele ovce,1029,"45,59577°N 14,30122°"
Slavnik,1028,"45,53388°N 13,97581°"
Vremščica,1027,"45,6883°N 14,0616°"
Sveti Hieronim,1020,"45,7793°N 14,03613°"
Gora (Sveti Lovrenc),1019,"45,83905°N 14,16735°"
Špilnik,1018,"45,84151°N 14,18875°"
Koča na Kamnem griču,1016,"45,72936°N 14,61693°"
Firstov rep,1002,"45,53699°N 14,74876°"
Sinji vrh,1002,"45,90828°N 13,93735°"
Županov vrh,999,"45,8963°N 14,4494°"
Novaška gora,998,"45,88663°N 14,42055°"
Grmada pri Slavniku,998,"45,53884°N 13,96739°"
Koča na Kozleku,997,"45,54458°N 14,32259°"
Špiček (Špečk),986,"45,89795°N 14,00735°"
Lovsko zavetišče pod Čavnom,980,"45,93452°N 13,78879°"
Volovja reber,975,"45,60216°N 14,28646°"
Sveti Bric (Nanos),965,"45,79265°N 14,06842°"
Rotovc,964,"45,8941°N 14,4559°"
Mišnice,961,"45,9081°N 14,4678°"
Kovk,961,"45,88792°N 13,96903°"
Križna gora nad Colom,957,"45,89532°N 14,0033°"
Velika Špička,955,"45,83534°N 14,39687°"
Mala Plešivica,953,"45,5066°N 14,0345°"
Ježa,949,"46,17044°N 13,67452°"
Milanka,948,"45,60399°N 14,2804°"
Leskovica (nad Stražiščem),947,"45,8479°N 14,3929°"
Krempa,944,"45,53108°N 14,78095°"
Krimšček,940,"45,89632°N 14,41087°"
Petričev hrib,937,"45,83407°N 14,21325°"
Deveti konfin,930,"46,16845°N 13,68253°"
Kopitnik,929,"45,94571°N 13,77667°"
Srednji vrh pri Kozleku,923,"45,54823°N 14,31222°"
Dolski maj,912,"45,93387°N 13,89449°"
Velika Plešivica,908,"45,5181°N 14,02302°"
Lovska koča Urška,908,"45,71171°N 14,53618°"
Očna,906,"46,16753°N 13,68815°"
Dom na Travni Gori,906,"45,7355°N 14,64488°"
Furlanovo zavetišče pri Abramu,900,"45,81891°N 14,01858°"
Kraguljc,897,"45,89099°N 13,94985°"
Bezgarska planina,895,"45,5559°N 14,7199°"
Marutnik,892,"46,00901°N 14,05159°"
Golič,890,"45,49142°N 13,97161°"
Gozdarska koča Pri logarnici,889,"45,8884°N 14,5348°"
Nadglavinjak,888,"45,4815°N 13,9818°"
Sekulak,888,"45,93427°N 13,78518°"
Vrh Svetih Treh Kraljev,884,"46,01034°N 14,16879°"
