Ime,Visina,Lokacija
Triglav,2864,"46,37832°N 13,83648°"
Montaž / Jôf di Montasio,2753,"46,43577°N 13,43405°"
Škrlatica,2740,"46,43277°N 13,82114°"
Mali Triglav,2725,"46,37683°N 13,84315°"
Mangart,2679,"46,43948°N 13,65457°"
Viš/Jof Fuart,2666,"46,42996°N 13,49155°"
Vrh Brda / Cima Verde,2661,"46,43329°N 13,44233°"
Visoki Rokav,2646,"46,43547°N 13,8283°"
Jalovec,2645,"46,42154°N 13,68002°"
Veliki Oltar,2621,"46,43919°N 13,82995°"
Velika Martuljška Ponca,2602,"46,44179°N 13,82419°"
Razor,2601,"46,41194°N 13,79138°"
Dolkova špica,2591,"46,42574°N 13,81467°"
Visoki Kanin,2587,"46,36018°N 13,439°"
Mali Kanin,2571,"46,35727°N 13,43765°"
Kanjavec (Zahodni vrh),2569,"46,3601°N 13,8073°"
Kanjavec,2569,"46,3602°N 13,80966°"
Glava v Zaplanji,2556,"46,37731°N 13,82801°"
Rogljica,2547,"46,42769°N 13,81231°"
Prisank / Prisojnik,2547,"46,42464°N 13,76974°"
Rakova Špica,2545,"46,43008°N 13,81379°"
Dovški križ,2542,"46,44081°N 13,8422°"
Kredarica,2541,"46,3801°N 13,8524°"
Rž,2538,"46,38155°N 13,8591°"
Rjavina,2532,"46,39185°N 13,88088°"
Špik nad Nosom / Foronon del Buinz,2531,"46,41788°N 13,46558°"
Morbegna,2520,"46,37661°N 13,82681°"
Triglavski dom na Kredarici,2515,"46,37891°N 13,84928°"
Koštrunove špice,2502,"46,42243°N 13,48655°"
Mala Martuljška Ponca,2501,"46,44339°N 13,82059°"
Stenar,2501,"46,40795°N 13,81896°"
Spodnji Rokav,2500,"46,43063°N 13,82878°"
Prestreljenik,2499,"46,36214°N 13,47237°"
Široka peč,2497,"46,44378°N 13,84228°"
Poprovec,2496,"46,35583°N 13,80273°"
Teme (Hribarice),2495,"46,3575°N 13,8044°"
Veliki Ozebnik,2480,"46,41572°N 13,67936°"
Špik,2472,"46,44872°N 13,81432°"
Mišeljski Konec,2464,"46,35458°N 13,81831°"
Begunjski vrh,2461,"46,39032°N 13,85436°"
Planja,2453,"46,40712°N 13,78739°"
Vršaki (Vzhodni vrh),2448,"46,3507°N 13,808°"
Vrh Krnice,2441,"46,3652°N 13,43339°"
Vršaki (Južni vrh),2431,"46,3475°N 13,8024°"
Bivak Suringar,2430,"46,43675°N 13,42831°"
Kukova špica,2427,"46,44726°N 13,85481°"
Vršaki (Srednji vrh),2424,"46,3496°N 13,8053°"
Vršaki (Vrh za Koritami),2422,"46,3488°N 13,8029°"
Špik Hude police / Cima di Terrarossa,2420,"46,4266°N 13,45217°"
Pihavec,2419,"46,39254°N 13,80664°"
Špik nad Planjo / Punta Plagnis,2411,"46,41479°N 13,48343°"
Križ,2410,"46,41006°N 13,81101°"
Visoka Vrbanova špica,2408,"46,39132°N 13,86163°"
Lopa,2406,"46,3703°N 13,49434°"
Gubno,2403,"46,41718°N 13,80836°"
Dom Planika pod Triglavom,2401,"46,37154°N 13,84605°"
Veliko Špičje,2398,"46,34382°N 13,7672°"
Cmir,2393,"46,40065°N 13,86007°"
Bovški Gamsovec,2392,"46,3983°N 13,81286°"
Prestreljeniško okno,2391,"46,36112°N 13,46989°"
Debeli vrh,2390,"46,3408°N 13,81513°"
Vrh Hribaric,2388,"46,34948°N 13,8178°"
Šplevta (Indijanec),2382,"46,4137°N 13,79895°"
Strma peč / Monte Cimone,2380,"46,42387°N 13,38607°"
Travnik (pri Mojstrovkah),2379,"46,42902°N 13,71316°"
Kucelj (Julijske Alpe),2372,"46,4273°N 13,81923°"
Vrh Osojnic,2371,"46,3584°N 13,4651°"
Kriški rob,2366,"46,40943°N 13,80196°"
Velika Mojstrovka,2366,"46,43601°N 13,7272°"
Šmarjetna glava,2358,"46,36433°N 13,82715°"
Spodnji Stenar,2356,"46,40552°N 13,81764°"
Zadnja Mojstrovka,2354,"46,43084°N 13,72004°"
Vrh Krnega dola / Monte Cregnedul,2351,"46,41377°N 13,48543°"
Kol,2350,"46,42756°N 13,70943°"
Mišelj vrh,2350,"46,3565°N 13,83745°"
Plaski Vogel,2348,"46,33771°N 13,75064°"
Bavški Grintavec,2347,"46,36899°N 13,67025°"
Briceljk,2346,"46,39508°N 13,63191°"
Vevnica,2342,"46,43963°N 13,68566°"
Vrh Snežne konte,2342,"46,37691°N 13,85545°"
Velika Črnelska špica,2332,"46,37654°N 13,51567°"
Mala Mojstrovka,2332,"46,43725°N 13,73111°"
Dom Valentina Staniča pod Triglavom,2332,"46,38703°N 13,85984°"
Zadnji Vogel,2327,"46,3402°N 13,7978°"
Mali Ozebnik,2324,"46,4072°N 13,6686°"
Žrd / Sart,2324,"46,38215°N 13,39984°"
Velika Zelnarica,2320,"46,34246°N 13,79081°"
Veliki Nabojs / Monte Nabois grande,2313,"46,43913°N 13,48831°"
Malo Špičje,2312,"46,35139°N 13,78335°"
Mala Zelnarica,2310,"46,33808°N 13,78967°"
Škednjovec,2309,"46,34948°N 13,82337°"
Spodnja Vrbanova špica,2299,"46,39655°N 13,86906°"
Konjc,2289,"46,35223°N 13,46995°"
Frdamane police,2284,
Tosc,2275,"46,35672°N 13,8684°"
Visoka Ponca,2274,"46,46014°N 13,6974°"
Šplevta,2272,"46,43571°N 13,84014°"
Strug,2265,"46,4441°N 13,6939°"
Dom Petra Skalarja na Kaninu,2260,"46,35371°N 13,46864°"
Visoka Bela Špica / Cima Alta di Riobianco,2257,"46,423°N 13,5187°"
Travnik,2252,"46,33751°N 13,74382°"
Krn,2244,"46,26607°N 13,65862°"
Veliki Draški vrh,2243,"46,36017°N 13,87584°"
Zadnja Ponca,2242,"46,45048°N 13,69495°"
Vrh Grubje,2240,"46,37203°N 13,41694°"
Srednja Ponca,2228,"46,45676°N 13,69881°"
Čelo,2228,"46,32912°N 13,74117°"
Srednji Vogel,2226,"46,33414°N 13,79845°"
Vernar,2225,"46,36116°N 13,86152°"
Rombon,2208,"46,3672°N 13,5544°"
Vodnikov Vršac (Vršac nad Zadnjico),2194,"46,36306°N 13,79715°"
Kopica,2190,"46,33257°N 13,78765°"
Plešivec (Loška stena),2184,"46,4102°N 13,66046°"
Gomiščkovo zavetišče na Krnu,2182,"46,26526°N 13,65719°"
Prvi Vogel,2181,"46,33004°N 13,79969°"
Vrh nad Peski,2176,"46,2643°N 13,67794°"
Batognica,2164,"46,26349°N 13,66837°"
Zgornje Kriško jezero,2158,"46,40847°N 13,80578°"
Koča na Doliču,2151,"46,36487°N 13,81953°"
Bivak Tarvisio,2150,
Velika Baba (Kanin),2148,"46,3329°N 13,4494°"
Bela peč/Monte Bila pec,2146,"46,37497°N 13,45582°"
Krnčica,2142,"46,28178°N 13,65087°"
Teme,2136,"46,38747°N 13,88754°"
Kotovo sedlo,2134,"46,4304°N 13,68128°"
Mali Draški vrh,2132,"46,36324°N 13,89252°"
Jerebica,2126,"46,39843°N 13,56475°"
Veliki Babanski Skedenj,2121,"46,3336°N 13,4612°"
Šmihelovec,2118,"46,37561°N 13,66734°"
Bivak na Jezerih,2118,"46,43367°N 13,83861°"
Trentski Pelc,2116,"46,38609°N 13,70958°"
Vršac (nad Zadnjo Trento),2113,"46,40038°N 13,68168°"
Suhi vrh,2109,"46,42901°N 13,7281°"
Goličica,2101,"46,39976°N 13,77074°"
Cesar,2098,"46,36653°N 13,85913°"
Velika Tičarica,2091,"46,32285°N 13,78576°"
Zagorelec,2090,"46,3791°N 13,67051°"
Poldašnja špica/Jof di Miezegnot,2087,"46,47667°N 13,45366°"
Ogradi,2087,"46,33469°N 13,83342°"
Šitna glava,2087,"46,43914°N 13,73879°"
Tolminski Kuk,2085,"46,2605°N 13,7568°"
Zadnjiški Ozebnik,2084,"46,36917°N 13,78205°"
Sleme,2077,"46,45172°N 13,87177°"
Slatna,2077,"46,32859°N 13,80486°"
Prevalski Stog,2075,"46,34432°N 13,8373°"
Rigljica,2074,"46,4581°N 13,80653°"
Kamniti lovec / Cima del Cacciatore,2071,"46,46466°N 13,52795°"
Zasavska koča na Prehodavcih,2071,"46,35856°N 13,79209°"
Mala Tičarica,2071,"46,3202°N 13,78512°"
Zavetišče pod Špičkom,2064,"46,41015°N 13,67785°"
Poldnik (Kopa) / Picco di Mezzodi,2063,"46,45951°N 13,63677°"
Podrta gora,2061,"46,26114°N 13,76907°"
Veliki Pršivec,2056,"46,38125°N 13,88672°"
Vrh nad Škrbino,2054,"46,2544°N 13,78°"
Zeleni vrh,2052,"46,2608°N 13,7635°"
Pogačnikov dom na Kriških podih,2050,"46,40273°N 13,80077°"
Viševnik,2050,"46,35901°N 13,89829°"
Cima Alta (Dve špici),2046,"46,47645°N 13,42029°"
Veliki Lemež,2042,"46,2882°N 13,6721°"
Bivak Marrusich,2041,"46,37206°N 13,42438°"
Jezerski Stog,2040,"46,33838°N 13,8449°"
Na Pečeh,2039,"46,44889°N 13,82604°"
Srednji vrh (nad jezerom v Lužnici),2032,"46,2609°N 13,6767°"
Drobeče Sleme,2029,"46,45453°N 13,87242°"
Kreda,2025,"46,32648°N 13,80956°"
Eva,2019,"46,34135°N 13,84004°"
Velika Baba,2016,"46,29478°N 13,70854°"
Debela peč,2014,"46,39071°N 13,93316°"
Lopatnik,2012,"46,2868°N 13,6493°"
Adam,2012,"46,3406°N 13,83849°"
Mahavšček,2008,"46,27747°N 13,73621°"
Brda,2008,"46,38497°N 13,92546°"
Rjavo jezero,2006,"46,35541°N 13,79558°"
Ablanca,2004,"46,35294°N 13,88419°"
Lanževica,2003,"46,29681°N 13,72491°"
Kal,2001,"46,31143°N 13,74607°"
Meja,1996,"46,25076°N 13,78727°"
Vrh nad Vodeno Rupo,1995,"46,3261°N 13,7915°"
Zeleno jezero,1988,"46,35125°N 13,79484°"
Vratni vrh,1983,"46,36069°N 13,51135°"
Vogel (nad Lepeno),1980,"46,28518°N 13,66587°"
Velika Bavha / Monte Robon,1980,"46,38591°N 13,5137°"
