Ime,Visina,Lokacija
Grintovec,2558,"46,35718°N 14,53548°"
Jezerska Kočna,2540,"46,3587°N 14,52206°"
Skuta,2532,"46,36328°N 14,55768°"
Kokrska Kočna,2520,"46,35713°N 14,51984°"
Na Križu (Kokrska Kočna),2484,"46,35678°N 14,51562°"
Dolgi hrbet,2473,"46,36285°N 14,54596°"
Štruca,2457,"46,36269°N 14,55315°"
Kranjska Rinka,2453,"46,36565°N 14,56361°"
Koroška Rinka (Križ),2433,"46,36776°N 14,56519°"
Planjava,2392,"46,35652°N 14,61372°"
Štajerska Rinka,2374,"46,36817°N 14,56736°"
Ojstrica,2350,"46,36395°N 14,63724°"
Lučka Brana (Baba),2331,"46,3598°N 14,625°"
Mala Rinka,2289,"46,36576°N 14,56924°"
Brana,2253,"46,35487°N 14,5874°"
Turska gora,2251,"46,3603°N 14,57718°"
Kalški greben,2224,"46,33165°N 14,5378°"
Mrzla gora,2203,"46,3772°N 14,5783°"
Storžič,2132,"46,35028°N 14,40472°"
Najvišji rob (Zeleniške špice),2127,"46,35192°N 14,62094°"
Velika (Koroška) Baba,2127,"46,37937°N 14,55592°"
Velika Zelenica,2114,"46,36109°N 14,66732°"
Storžek,2110,"46,37526°N 14,5614°"
Veliki vrh (Veža),2110,"46,35756°N 14,66922°"
Ledinski vrh,2108,"46,37508°N 14,5592°"
Kogel,2100,"46,35502°N 14,55563°"
Bivak pod Grintovcem,2100,"46,35348°N 14,54738°"
Krofička,2083,"46,37456°N 14,64503°"
Bivak pod Skuto,2070,"46,35887°N 14,56792°"
Velika Raduha,2062,"46,40991°N 14,73775°"
Kalška gora,2047,"46,34087°N 14,5476°"
Mala Raduha,2029,"46,41346°N 14,74304°"
Molička peč,2029,"46,36394°N 14,67204°"
Lučki Dedec,2023,"46,35236°N 14,63786°"
Mala Ojstrica,2017,"46,36083°N 14,65135°"
Vrh Korena,1999,"46,31504°N 14,5542°"
Kompotela,1989,"46,31522°N 14,56246°"
Tolsti vrh (Veža),1985,"46,34915°N 14,66186°"
Vršiči,1980,"46,3458°N 14,6371°"
Bivak pod Mrzlim vrhom,1980,"46,37425°N 14,56673°"
Košutna,1974,"46,30968°N 14,55699°"
Veliki Zvoh,1971,"46,3087°N 14,54165°"
Deska (Veža),1970,"46,34525°N 14,66027°"
Vežica,1965,"46,3425°N 14,6305°"
Dleskovec,1965,"46,35389°N 14,68228°"
Matkova kopa,1957,"46,39227°N 14,58598°"
Bivak v Kočni,1952,"46,3508°N 14,52441°"
Lanež,1925,"46,41867°N 14,7547°"
Jamarski bivak na Dleskovški planoti,1910,"46,3607°N 14,6729°"
Križevnik,1909,"46,37494°N 14,68872°"
Rjavčki vrh (Planinšca),1898,"46,36602°N 14,62707°"
Kamniška koča na Kamniškem sedlu,1864,"46,35919°N 14,59748°"
Krvavec,1853,"46,29964°N 14,53663°"
Mokrica,1853,"46,31567°N 14,57027°"
Srednji vrh,1853,"46,33939°N 14,4391°"
Vodotočno jezero (Veža),1850,"46,34689°N 14,65578°"
Lastovec,1841,"46,33694°N 14,66039°"
Planina Dolga trata,1835,"46,3517°N 14,6925°"
Rzenik,1833,"46,32776°N 14,63334°"
Cjanovca,1820,"46,33578°N 14,4411°"
Mali Grintovec,1813,"46,34632°N 14,42739°"
Jelovec,1808,"46,4215°N 14,76151°"
Kocbekov dom na Korošici,1808,"46,3557°N 14,64002°"
Konj,1803,"46,33081°N 14,63766°"
Vratca,1802,"46,37036°N 14,52837°"
Cojzova koča na Kokrskem sedlu,1793,"46,34433°N 14,54697°"
Goli vrh,1787,"46,39789°N 14,54699°"
Kapelica na Molički planini,1780,"46,36015°N 14,65553°"
Planina Košutna,1778,"46,30634°N 14,55535°"
Strelovec,1763,"46,39439°N 14,65812°"
Bašeljski vrh,1744,"46,34535°N 14,41834°"
Veliki vrh,1742,"46,37237°N 14,4974°"
Licjanovec,1733,"46,35007°N 14,4293°"
Tolsti vrh,1715,"46,34865°N 14,36322°"
Kranjska koča na Ledinah,1700,"46,37059°N 14,54963°"
Planina Polšak,1695,"46,3691°N 14,69234°"
Planina Dolga njiva (Krvavec),1688,"46,31438°N 14,54324°"
Komen,1684,"46,4181°N 14,84637°"
Dom na Krvavcu,1684,"46,29635°N 14,52909°"
