Ime,Visina,Lokacija
Stol,2236,"46,43402°N 14,17362°"
Vrtača,2181,"46,43992°N 14,21226°"
Prešernova koča na Stolu,2174,"46,43136°N 14,17495°"
Kepa,2143,"46,50679°N 13,95249°"
Ojstrc / Hochobir,2139,"46,50599°N 14,48724°"
Košutnikov turn,2133,"46,44637°N 14,41031°"
Kordeževa glava (Peca),2125,"46,50023°N 14,77993°"
Bistriška špica/Feistritzer Spitze,2113,"46,51149°N 14,75018°"
Končnikov vrh,2109,"46,50401°N 14,76322°"
Vajnež,2104,"46,44309°N 14,1511°"
Celovška špica,2102,"46,43812°N 14,18035°"
Veliko Kladivo,2094,"46,43719°N 14,34402°"
Veliki vrh (Košuta),2088,"46,43068°N 14,30956°"
Dovška Mala Kepa,2077,"46,50309°N 13,9595°"
Velika glava,2077,"46,50418°N 14,77198°"
Veška kopa/Wackendorfer Spitze,2074,"46,51578°N 14,74424°"
Begunjščica,2060,"46,42166°N 14,22982°"
Tolsta Košuta - Vzhodni vrh,2057,"46,44703°N 14,42951°"
Malo Kladivo,2036,"46,43497°N 14,33821°"
Gubno,2035,"46,50064°N 13,96126°"
Tolsta Košuta - Zahodni vrh,2026,"46,44618°N 14,42618°"
Palec,2026,"46,4432°N 14,21928°"
Pungartska gora,2025,"46,4397°N 14,3686°"
Ovčji vrh (Kozjak) / Geissberg (Kosiak),2024,"46,45315°N 14,18153°"
Zelenjak,2024,"46,44269°N 14,21524°"
Mali vrh,2017,"46,44827°N 14,14018°"
Kravji vrh / Kuhberg,2017,"46,49581°N 14,46787°"
Potoški Stol,2014,"46,43695°N 14,1537°"
Toplar,2000,"46,43156°N 14,31668°"
Begunjska Vrtača,1991,"46,42126°N 14,243°"
Košutica,1968,"46,43892°N 14,29909°"
Kofce gora,1967,"46,43108°N 14,32729°"
Cjajnik / Lärchenturm,1965,"46,44328°N 14,38808°"
Svačica,1953,"46,44412°N 14,19124°"
Struška,1944,"46,47275°N 14,12286°"
Trupejevo poldne,1931,"46,51535°N 13,86066°"
Govca (Olševa),1929,"46,44953°N 14,68571°"
Bele peči (Lepi vrh),1926,"46,5121°N 13,8647°"
Setiče/Freiberg,1922,"46,48881°N 14,40935°"
Srednja peč,1920,"46,43556°N 14,18973°"
