Ime,Visina,Lokacija
Tošč,1021,"46,09737°N 14,32132°"
Pasja ravan,1020,"46,09788°N 14,22914°"
Goli vrh,962,"46,0442°N 14,1756°"
Sivka,934,"46,07293°N 14,2091°"
Mlaka,914,"46,1067°N 14,25789°"
Javorč,901,"46,0703°N 14,1419°"
Polhograjska Grmada,898,"46,08381°N 14,33304°"
Gontarska planina,894,"46,11408°N 14,33757°"
Lavrovec,890,"46,02414°N 14,1884°"
Sveti Lenart,861,"46,08742°N 14,25249°"
Sveti Ožbolt (nad Zmincem),859,"46,1156°N 14,2862°"
Osolnik,858,"46,13204°N 14,33437°"
Mala Grmada,853,"46,08113°N 14,33017°"
Bukov vrh,832,"46,10907°N 14,2156°"
Polhograjska Gora (Sveti Lovrenc),824,"46,07083°N 14,29876°"
Veliki hrib,815,"46,08103°N 14,28909°"
Goljek,809,"46,08606°N 14,35638°"
Sveti Jakob,806,"46,10501°N 14,36909°"
Marinčeva planina (Hrib),805,"46,04512°N 14,21678°"
Sveti Andrej (Planina nad Horjulom),798,"46,049°N 14,2137°"
Rog,798,"46,09762°N 14,37688°"
Kožljek,788,"46,0343°N 14,25499°"
Brunarica Osovnik,777,"46,128°N 14,33852°"
Jeterbenk,774,"46,1024°N 14,38719°"
Stražni stolp pod vrhom Kovčka,770,"46,0447°N 14,2013°"
Sveta Jedert,750,"46,101°N 14,3029°"
Sveta Katarina (Topol),738,"46,0965°N 14,3765°"
Dom na Govejku,734,"46,11558°N 14,34606°"
Koreno,729,"46,03562°N 14,29263°"
Jermanca (Jermancov grič),728,"46,088°N 14,131°"
Hom,715,"46,13893°N 14,36003°"
Mali vrh,708,"46,0533°N 14,2795°"
Kucelj nad Polhovim Gradcem,705,"46,069°N 14,3335°"
Sveta Uršula (Setnica),700,"46,07895°N 14,32481°"
Kregovnik,692,"46,0796°N 14,3386°"
Sveta Ana (Butajnova),686,"46,04166°N 14,23683°"
Sveti Florijan (Tehovec),685,"46,1136°N 14,366°"
Grmada,676,"46,12803°N 14,45505°"
Dominov dom,670,"46,12613°N 14,34837°"
Šmarna gora,669,"46,12985°N 14,46391°"
Kugelč (Šentjošt nad Horjulom),666,"46,0312°N 14,2207°"
Sveti Mihael na Samotorici,665,"46,02879°N 14,25775°"
Domačija Pr Lenart (Belo),650,"46,0788°N 14,3591°"
Breznik (Boben),643,"46,1306°N 14,3791°"
Rašica (Vrh Staneta Kosca),641,"46,13972°N 14,51215°"
Sveta Barbara (nad Hrastnico),629,"46,1255°N 14,3163°"
Ključ,623,"46,03978°N 14,34369°"
Sveti Andrej (nad Zmincem),617,"46,1357°N 14,3015°"
Vrhe nad Dobrovo,603,"46,05656°N 14,38604°"
Visoki hrib,602,"46,0408°N 14,3066°"
Toško Čelo,590,"46,08405°N 14,42213°"
Sveti Urban (nad Gorenjo Dobravo),570,"46,08925°N 14,1607°"
Veliki vrh (Rašica),568,"46,1417°N 14,49561°"
Sveti Martin nad Brišami,567,"46,0492°N 14,2872°"
Sveti Jurij (Praproče),552,"46,0602°N 14,2884°"
Partizanski dom na Ključu,550,"46,03855°N 14,34835°"
Gradišče nad Žažarjem,547,"46,00531°N 14,26888°"
Vrh (Debeli hrib),540,"46,0309°N 14,3877°"
Gradišče (nad Dobrovo),530,"46,0411°N 14,414°"
Planinski dom na Ravneku,522,"46,0698°N 14,3213°"
Smledniški hrib (Stari grad),517,"46,1654°N 14,4421°"
Vrhovčev grič,495,"46,03054°N 14,37261°"
Sveta Marjeta pod Jeterbenkom,482,"46,11068°N 14,39254°"
Bezenica,476,"46,05511°N 14,36023°"
Strmca,472,"46,0238°N 14,3578°"
Koseški hrib,467,"46,17574°N 14,52749°"
Kalvarija,460,"46,06655°N 14,31232°"
Gradišče (Zapoški hrib),451,"46,1692°N 14,4747°"
Strmec (nad Dragomerom),446,"46,01603°N 14,36772°"
Debeli vrh (nad Topolami),446,"46,1762°N 14,5444°"
Klobuk pri Ljubljani,441,"46,0636°N 14,4329°"
Stražni vrh,439,"46,06876°N 14,44191°"
Lovska koča na Klobuku,433,"46,0637°N 14,4347°"
Mengeška koča na Gobavici,433,"46,16569°N 14,56139°"
Šišenski hrib (Rožnik),429,"46,06014°N 14,48803°"
Sveti Urh (nad Zaklancem),420,"46,02653°N 14,32047°"
Sveti Tilen nad Repnjami,419,"46,1705°N 14,4773°"
Sveti Jurij (Hruševo),414,"46,073°N 14,3883°"
Slavkov dom na Golem brdu,396,"46,10517°N 14,41761°"
Straža,395,"46,111°N 14,51612°"
Cankarjev vrh (Rožnik),394,"46,05492°N 14,47719°"
Sveti križ na Hribcu,380,"46,1623°N 14,3133°"
Blagajev grad (Polhograjska graščina),377,"46,0675°N 14,3138°"
Ljubljanski grad,376,"46,04867°N 14,50841°"
Liparjev grič,374,"46,02146°N 14,38877°"
Mlinčki,340,"46,1787°N 14,5297°"
Mostec,316,"46,0629°N 14,4792°"
Grad Jablje,310,"46,14168°N 14,55343°"
Koseški bajer,307,"46,0673°N 14,4687°"
