Ime,Visina,Lokacija
Kum,1220,"46,08831°N 15,07395°"
Črni vrh (Čemšeniška planina),1204,"46,19451°N 14,96949°"
Trdinov vrh,1178,"45,75978°N 15,31811°"
Javor,1132,"46,1831°N 15,0166°"
Mrzlica,1122,"46,18753°N 15,10746°"
Koča na Čemšeniški planini,1120,"46,19019°N 14,96181°"
Veliki Rog,1099,"45,68521°N 14,99528°"
Gozdnik,1090,"46,19241°N 15,15299°"
Ledenik,1072,"45,6311°N 14,8211°"
Sveta Marija (Ključevica),1067,"46,0887°N 15,0894°"
Mirna gora,1047,"45,63175°N 15,09498°"
Slovenski vrh,1041,"45,6655°N 14,8016°"
Mestni vrh,1034,"45,61989°N 14,85088°"
Veliki Javornik (Bohor),1023,"46,06775°N 15,42841°"
Sveta planina (Partizanski vrh),1011,"46,1753°N 15,0227°"
Požgani hrib,1009,"45,60714°N 14,85614°"
Dom na Mirni gori,1000,"45,62952°N 15,10311°"
Livoldski vrh,994,"45,60716°N 14,86918°"
Veliko Kozje,993,"46,08698°N 15,21823°"
Kal,985,"46,1762°N 15,1094°"
Koprivnik (Bohor),984,"46,07068°N 15,44859°"
Grad Fridrihštajn,970,"45,61138°N 14,86043°"
Stene svete Ane,964,"45,77559°N 14,7476°"
Dom pri Miklavžu,964,"45,77614°N 15,32267°"
Nebeška gora,958,"46,08283°N 15,10665°"
Špilk,956,"46,2006°N 14,819°"
Gače,955,"45,65485°N 15,0875°"
Skalica (Bohor),951,"46,06843°N 15,40363°"
Lisca,948,"46,06797°N 15,28482°"
Planinski rudarski dom na Kalu,946,"46,17332°N 15,10805°"
Malič,936,"46,18315°N 15,20796°"
Roviškovec,930,"46,12649°N 14,9034°"
Reška planina,925,"46,21004°N 15,05934°"
Debeli vrh (Bohor),921,"46,07094°N 15,47113°"
Plešivec (Bohor),915,"46,06455°N 15,45445°"
Petrova skala na Bohorju,913,"46,06657°N 15,45116°"
Koča pri Sveti Ani na Mali gori,910,"45,76941°N 14,74404°"
Kopitnik,910,"46,11028°N 15,17886°"
Krvavica,909,"46,20076°N 14,99304°"
Koča na Bohorju,896,"46,06534°N 15,45287°"
Grmada (Bohor),890,"46,06356°N 15,43579°"
Klobuk,890,"46,1612°N 15,10423°"
Sveti Peter,888,"45,76675°N 14,97917°"
Sveti Lenart (Vrhe),887,"46,1895°N 15,0049°"
Grmada na Mali gori,887,"45,81476°N 14,69529°"
Naravno bohorsko okno,883,"46,06629°N 15,45055°"
Slivna (Pivkelj),880,"46,12055°N 14,79644°"
Reber,878,"46,17701°N 14,86886°"
Pleše,866,"46,1313°N 14,9237°"
Koča na Kopitniku,865,"46,11401°N 15,17281°"
Kamnik,861,"46,20564°N 15,129°"
Oslica (Bohor),860,"46,0679°N 15,485°"
Ostrež,856,"46,0825°N 14,9736°"
Ostri vrh,855,"46,15636°N 15,13076°"
Zasavska Sveta gora,852,"46,1285°N 14,89429°"
Koča pri Jelenovem studencu,850,"45,62008°N 14,84724°"
