Ime,Visina,Lokacija
Sotinski breg (Kugla),418,"46,836°N 16,0305°"
Serdiški breg (Rdeči breg),416,"46,83036°N 16,0133°"
Križarka,413,"46,82852°N 16,13244°"
Srebrni breg,404,"46,85029°N 16,14388°"
Vukova kapela (Vidonci),401,"46,81603°N 16,13171°"
Cerkev sv. Ane v Boreči,395,"46,82817°N 16,15796°"
Kamenek,392,"46,77519°N 16,20289°"
Tromejnik,390,"46,8691°N 16,1138°"
Evharistični križ v Trdkovi,388,"46,85784°N 16,12385°"
Pepelšček,386,"46,80553°N 16,10241°"
Činčev breg,375,"46,83733°N 16,0423°"
Kapela Presvetega Srca Jezusovega in Brezmadežnega Srca Marijinega v Martinju,375,"46,84668°N 16,14858°"
Bogin breg,371,"46,84689°N 16,11312°"
Grad Grad na Goričkem,370,"46,8002°N 16,0959°"
Zalka,362,"46,84995°N 16,11214°"
Gorički breg,362,"46,86701°N 16,21655°"
Sveti Benedikt (Kančevci),358,"46,751°N 16,2334°"
Kapela v Stanjevcih,357,"46,81051°N 16,18727°"
Sveta Trojica (Gornji Petrovci),355,"46,81425°N 16,22001°"
Mejni kamen A 115,353,"46,87665°N 16,23322°"
Apneni breg,352,"46,82597°N 15,99472°"
Beli breg,346,"46,81361°N 16,00783°"
Marija Snežna (Fikšinci),332,"46,78652°N 16,00159°"
Kripta,331,"46,79322°N 16,08885°"
Piramida (Lendavske gorice),327,"46,5658°N 16,4769°"
Griški vrh,322,"46,73955°N 16,11552°"
Makotrov breg,319,"46,74565°N 16,28552°"
Kapela v Zgornjih Moravcih,315,"46,71749°N 16,2519°"
Sveti Martin (Stari breg),307,"46,78081°N 16,27739°"
Fuks graba,305,"46,74624°N 16,00742°"
Trestenjak,304,"46,7395°N 16,21098°"
Razgledni stolp Vinarium Lendava,302,"46,5675°N 16,4682°"
Sveta Helena (Pertoča),298,"46,77803°N 16,0282°"
Planinska koča Rak,290,"46,81731°N 16,0591°"
Ograd,282,"46,73158°N 16,19243°"
Izvir slatine (pod Činčevim bregom),280,"46,83445°N 16,04097°"
Vidrin center Aqualutra,275,"46,78592°N 16,25609°"
Jezero Križevci,272,"46,79083°N 16,24537°"
Sveta Trojica v Lendavskih goricah,266,"46,5599°N 16,4617°"
Kačova mlaka,265,"46,80331°N 16,08821°"
Močvara (Lončarovci),257,"46,76538°N 16,27298°"
Rotunda sv. Nikolaja (Selo),251,"46,731°N 16,2773°"
Vršič nad Bogojino,246,"46,68297°N 16,28028°"
Hodoško jezero,243,"46,83658°N 16,30958°"
Slatinski vrelec Nuskova,239,"46,81049°N 16,02524°"
Ledavsko jezero,218,"46,74843°N 16,04132°"
Lendavski grad (Dolnjelendavski grad),205,"46,5668°N 16,4529°"
Sveti Vid (pri Bukovniškem jezeru),205,"46,67095°N 16,33328°"
Plečnikova cerkev (Bogojina),198,"46,67875°N 16,27763°"
Bukovniško jezero,189,"46,6723°N 16,3363°"
Soboško jezero,188,"46,63868°N 16,16889°"
Ribnik Taškal,183,"46,59677°N 16,18117°"
Gramoznica Dokležovje,182,"46,59095°N 16,18144°"
Gramoznica Vučja jama,179,"46,63134°N 16,22075°"
Otok ljubezni,179,"46,58016°N 16,20646°"
