Ime,Visina,Lokacija
Altemaver (Ratitovec),1678,"46,23699°N 14,08272°"
Gladki vrh (Ratitovec),1667,"46,23761°N 14,09172°"
Kremant (Ratitovec),1654,"46,2396°N 14,0723°"
Kosmati vrh (Ratitovec),1643,"46,24282°N 14,1016°"
Krekova koča na Ratitovcu,1642,"46,23666°N 14,09056°"
Porezen,1630,"46,17733°N 13,97467°"
Dom na Poreznu,1590,"46,17927°N 13,97624°"
Blegoš,1562,"46,16482°N 14,11352°"
Žbajnek,1538,"46,24264°N 14,05003°"
Kačji rob,1520,"46,2423°N 14,0569°"
Hoč,1514,"46,1929°N 13,9883°"
Planina Klom,1500,"46,2471°N 14,0965°"
Črni vrh (nad Soriško planino),1486,"46,2473°N 14,012°"
Planina Pečana,1472,"46,2458°N 14,0877°"
Medrce,1410,"46,16925°N 13,98366°"
Koprivnik,1393,"46,176°N 14,14028°"
Koča na Blegošu,1391,"46,16655°N 14,10554°"
Mladi vrh,1374,"46,17344°N 14,16347°"
Kopa (Cimprovka),1360,"46,16268°N 14,00431°"
Lipniška planina,1330,"46,2767°N 14,1432°"
Tonderškofel,1326,"46,2365°N 14,0293°"
Erbelc,1308,"46,2336°N 14,0332°"
Otavnik,1306,"46,16695°N 13,96538°"
Kojca,1303,"46,15376°N 13,92666°"
Črni vrh nad Novaki,1291,"46,16422°N 14,06568°"
Planina Otavnik,1268,"46,1656°N 13,9627°"
Koča na Črnem vrhu nad Novaki,1245,"46,16174°N 14,05758°"
Gozdarske koče Martinček,1240,"46,2924°N 14,1385°"
Stari vrh,1217,"46,17044°N 14,1764°"
Zavetišče gorske straže na Jelencih,1185,"46,16264°N 14,09957°"
Planina Kališnik,1180,"46,2624°N 14,1709°"
Hudournik,1148,"46,0595°N 13,8787°"
Počitniški dom Goričane,1145,"46,298°N 14,0758°"
Dražgoška gora,1140,"46,2585°N 14,1707°"
Selska planina,1140,"46,2925°N 14,0945°"
Bela peč (Podbliška gora),1133,"46,2587°N 14,1978°"
Babji zob,1128,"46,32865°N 14,07374°"
Planina Tamar,1124,"46,313°N 14,0796°"
Ribčeva planina,1115,"46,2646°N 14,0515°"
Partizanski dom na Vodiški planini,1108,"46,2934°N 14,18082°"
Jelenk,1107,"46,05374°N 13,98871°"
Partizanska tehnika Meta,1100,"46,2748°N 14,1984°"
Oblakova planina,1100,"46,317°N 14,0805°"
Lovska koča LD Otavnik,1090,"46,1602°N 13,965°"
Danejeva planina,1090,"46,3268°N 14,0932°"
Gozdarska koča Rovtarica,1089,"46,2855°N 14,0913°"
Vrhovec,1079,"46,0637°N 13,9119°"
Vojsko,1077,"46,0239°N 13,9028°"
Malenski vrh,1051,"46,15663°N 14,15278°"
Bevkov vrh,1051,"46,08662°N 14,00683°"
Lovska koča na Toli,1040,"46,2328°N 14,1155°"
Žagarjev hlev v Grobljah,1035,"46,2157°N 14,1057°"
Koča na Starem vrhu,1032,"46,17134°N 14,18371°"
Ermanovec,1026,"46,10174°N 14,06293°"
Lubnik,1025,"46,17117°N 14,26106°"
Planina Prihod,1017,"46,3314°N 14,0845°"
Bičkova skala,1012,"46,2507°N 14,1888°"
Prtovč,1011,"46,228°N 14,1129°"
Sivka,1008,"46,05717°N 14,04798°"
Štor,1005,"46,1093°N 14,05513°"
Razpok,1002,"46,3117°N 14,1586°"
Davški slapovi,1000,
Gradišče (nad Spodnjo Idrijo),998,"46,0443°N 14,0414°"
Loncmanova Sivka (Mrzli Vrh),987,"46,05454°N 14,06116°"
Cerkev Marijinega vnebovzetja (Gora),987,"46,15346°N 14,15322°"
Črvov vrh,974,"46,1429°N 13,8649°"
Škofje,973,"46,1315°N 14,0235°"
Planinska koča Mrzl'k,971,"46,0631°N 14,0547°"
Koča na Ermanovcu,968,"46,10923°N 14,05323°"
Ribenska planina,965,"46,31337°N 14,11152°"
Ažmanov rovt,960,"46,3136°N 14,1354°"
Vrhovski grič,958,"46,0956°N 14,0702°"
Miklavška gora,955,"46,21049°N 14,19133°"
Suharna,952,
Sveti Mohor (Zabrekve),952,"46,2358°N 14,2403°"
Krog (Ledinski grič),940,"46,0594°N 14,0629°"
Planinski dom Goška ravan,933,"46,3166°N 14,1328°"
Kucelj (nad Kopačnico),920,"46,13084°N 14,08609°"
Sveti Brikcij (Četena Ravan),920,"46,1678°N 14,1855°"
Bukovski vrh,918,"46,1471°N 13,8794°"
Špik (Vranškov grič),908,"46,1132°N 14,09311°"
Hleviška planina,908,"45,98453°N 13,9942°"
Bitenjska planina,901,"46,2745°N 14,0336°"
Planina Vršana,900,"46,3331°N 14,0978°"
Sleme (Površnica),883,"46,2436°N 14,1816°"
Tolsti vrh (Talež),883,"46,3351°N 14,106°"
Veliki vrh (Lajše),881,"46,1121°N 13,9857°"
Sveti Marko (Spodnje Danje),878,"46,2255°N 14,0482°"
Sveti Križ nad Selcami,860,"46,2348°N 14,1845°"
Sveta Jedert (Lajše),850,"46,2477°N 14,198°"
Sveti Jošt nad Kranjem,845,"46,24281°N 14,30319°"
Špičasti hrib,837,"46,2355°N 14,2735°"
Sveti Primož in Felicijan (Jamnik),831,"46,2751°N 14,2141°"
Sveti Primož in Felicijan na Gabrški gori,830,"46,1412°N 14,20018°"
Gradišče pod Babjim zobom,824,"46,3361°N 14,0767°"
Sveti nadangel Gabrijel (Planica),824,"46,21224°N 14,27725°"
Koča na Hleviški planini,818,"45,98723°N 13,99585°"
Cerkovni vrh,804,"46,02259°N 14,01728°"
Leskovica,800,"46,1475°N 14,0859°"
Vrh Slajke,790,"46,1169°N 14,1015°"
Dom na Slajki,789,"46,11423°N 14,10017°"
Lepo brdo,778,"46,2318°N 14,189°"
Zagrebenc,763,"45,97621°N 14,01134°"
Sveti Tomaž (Vrsnik nad Žirmi),744,"46,0215°N 14,0953°"
Vrh soteske (Križna gora),735,"46,1857°N 14,2714°"
Sveti Pavel (Stara Oselica),728,"46,10243°N 14,0786°"
Lovska koča na Taležu,725,"46,33611°N 14,11808°"
Rovnik,707,"46,26318°N 14,25807°"
Hujska,706,"46,2359°N 14,1578°"
Rodne,698,"46,1309°N 13,9281°"
Sveti Križ (Križna Gora),680,"46,19035°N 14,27326°"
Sveti Tomaž nad Praprotnim,666,"46,1855°N 14,2445°"
Sveti Duh (Labinje),665,"46,1435°N 14,0031°"
Jagršče,663,"46,0879°N 13,9422°"
Zaganjalka,661,"46,1069°N 13,9861°"
Izvir Volaščice,650,"46,1466°N 14,1004°"
Šmarjetna gora,646,"46,24369°N 14,33616°"
Sveti Štefan (Kupljenik),642,"46,3374°N 14,0801°"
Šebrelje,639,"46,0927°N 13,9177°"
Bolnica Franja,601,"46,1535°N 14,0284°"
Lipniški grad (Pusti grad nad Lipnico),590,"46,3274°N 14,17°"
